scenario,arrival_rate,mean_los_obs,mean_los_ldr,mean_los_csect,mean_los_pp_noc,mean_los_pp_c,c_sect_prob,num_erlang_stages_obs,num_erlang_stages_ldr,num_erlang_stages_csect,num_erlang_stages_pp,acc_obs,acc_ldr,acc_pp,cap0_obs,cap0_ldr,cap0_pp,cap_obs,cap_ldr,cap_pp,check_load_obs,check_load_ldr,check_load_pp,check_rho_obs,check_rho_ldr,check_rho_pp,mean_los_pp,load_obs,load_ldr,load_pp,sqrt_load_obs,sqrt_load_ldr,sqrt_load_pp,rho_obs,rho_ldr,rho_pp,probblockedbyldr_approx,condmeantimeblockedbyldr_approx,effmean_svctime_ldr_approx,probblockedbypp_approx,condmeantimeblockedbypp_approx,cv2_svctime_obs,cv2_svctime_ldr,cv2_svctime_pp,eff_load_obs,eff_rho_obs,eff_sqrtload_obs,eff_load_ldr,eff_rho_ldr,eff_sqrtload_ldr,num_visits_obs_mean,planned_los_mean_mean_obs,actual_los_mean_mean_obs,planned_los_mean_cv2_obs,actual_los_mean_cv2_obs,occ_mean_mean_obs,occ_mean_p95_obs,prob_blockedby_ldr,condmeantime_blockedby_ldr,condp95time_blockedby_ldr,num_visits_ldr_mean,planned_los_mean_mean_ldr,actual_los_mean_mean_ldr,planned_los_mean_cv2_ldr,actual_los_mean_cv2_ldr,occ_mean_mean_ldr,occ_mean_p95_ldr,prob_blockedby_pp,condmeantime_blockedby_pp,condp95time_blockedby_pp,num_visits_csect_mean,planned_los_mean_mean_csect,actual_los_mean_mean_csect,planned_los_mean_cv2_csect,actual_los_mean_cv2_csect,occ_mean_mean_csect,occ_mean_p95_csect,num_visits_pp_mean,planned_los_mean_mean_pp,actual_los_mean_mean_pp,planned_los_mean_cv2_pp,actual_los_mean_cv2_pp,occ_mean_mean_pp,occ_mean_p95_pp
1,0.3,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.95,0.85,0.9,1.0,7.0,13.0,1.0,7.0,13.0,0.3,4.5,9.359999999999998,0.3,0.64,0.72,31.2,0.3,4.5,9.359999999999998,0.5477225575051661,2.1213203435596424,3.0594117081556704,0.3,0.6428571428571429,0.7199999999999999,0.2090568261194834,4.646484869764713,14.854093725633769,0.1977254358826297,5.964064702970836,1.0,0.5,0.2647928994082846,0.5914138138455637,0.5914138138455637,0.7690343385347391,4.456228117690131,0.6366040168128758,2.1109780002856806,2153.866666666667,0.9990726138236374,1.3778199544569991,1.001368656138366,1.080689744744865,0.41482859298408603,1.0,0.1844361621182718,2.0545684064735688,5.7436367247481,2158.9333333333334,15.118881956106286,15.35512749648147,0.5060864393135639,0.5066069011673954,4.62202666116295,7.0,0.17725956058159048,4.664396323006895,12.12229483341495,644.4666666666667,1.9593996229191861,2.7388966261956766,0.99868056748028,1.2072518407474067,0.2471007474589063,1.0,2167.866666666667,31.19199702447844,31.191997024478443,0.2675611419201751,0.26756114192017505,9.390187564490173,13.0
2,0.3,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.95,0.85,0.95,1.0,7.0,15.0,1.0,7.0,15.0,0.3,4.5,9.359999999999998,0.3,0.64,0.62,31.2,0.3,4.5,9.359999999999998,0.5477225575051661,2.1213203435596424,3.0594117081556704,0.3,0.6428571428571429,0.6239999999999999,0.1844686211283658,4.2897589827073945,14.39233198324668,0.0642496887825326,4.083575261271795,1.0,0.5,0.2647928994082846,0.5373977773539164,0.5373977773539164,0.7330741963498076,4.317699594974004,0.6168142278534291,2.077907503950549,2153.866666666667,0.9990726138236374,1.3162898054512089,1.001368656138366,1.0599966402444132,0.396368785245942,1.0,0.16183802611826306,1.9605643334081835,5.468177043948655,2158.9333333333334,15.118881956106286,14.948668061658118,0.5060864393135638,0.5230371944237221,4.499615486819279,7.0,0.05256897987298751,3.502846756989491,8.800349946672194,644.4666666666667,1.9593996229191861,2.1349853832782637,0.99868056748028,1.0700461088971283,0.19251558444933312,1.0,2167.733333333333,31.19207539962334,31.192075399623345,0.2675765360180834,0.26757653601808346,9.389994515911493,14.666666666666666
3,0.3,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.95,0.95,0.9,1.0,8.0,13.0,1.0,8.0,13.0,0.3,4.5,9.359999999999998,0.3,0.56,0.72,31.2,0.3,4.5,9.359999999999998,0.5477225575051661,2.1213203435596424,3.0594117081556704,0.3,0.5625,0.7199999999999999,0.1170423590501715,3.70283543667176,15.392084510436346,0.1977254358826297,5.964064702970836,1.0,0.5,0.2647928994082846,0.4300165784047904,0.4300165784047904,0.6557564932235063,4.617625353130904,0.5772031691413629,2.148866062166487,2153.5333333333333,0.9991509741818613,1.1936337454779447,1.0013427318135233,1.0478413878420696,0.35923513148047354,1.0,0.10502299800539205,1.8483100441055014,5.095703295173496,2159.0,15.11900106821552,15.624898576682742,0.5060709816987654,0.49338775901192045,4.703106245574179,8.0,0.18765844191072967,5.15256999447501,13.348667611711761,644.4666666666667,1.9593996229191861,2.8950281609410604,0.99868056748028,1.2828578141487228,0.26122860321414226,1.0666666666666667,2168.0,31.191658784789713,31.191658784789716,0.2675567031471776,0.2675567031471775,9.390520104400471,13.0
4,0.3,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.95,0.95,0.95,1.0,8.0,15.0,1.0,8.0,15.0,0.3,4.5,9.359999999999998,0.3,0.56,0.62,31.2,0.3,4.5,9.359999999999998,0.5477225575051661,2.1213203435596424,3.0594117081556704,0.3,0.5625,0.6239999999999999,0.0989606888972632,3.426839661642032,14.844535494103177,0.0642496887825326,4.083575261271795,1.0,0.5,0.2647928994082846,0.401736724096968,0.401736724096968,0.6338270458863111,4.4533606482309525,0.5566700810288691,2.110298710664192,2153.5333333333333,0.9991509741818613,1.148187906571586,1.001342731813523,1.022138876271868,0.34559768522441525,1.0,0.08547771384476362,1.7410642450589342,4.813668133484443,2159.0,15.11900106821552,15.13254159451913,0.5060709816987654,0.5099582472711195,4.554744533093027,8.0,0.057399526456533304,3.7908752895890263,9.893726851831229,644.4666666666667,1.9593996229191861,2.165771028183707,0.99868056748028,1.0932988532871002,0.19532460154126502,1.0,2167.866666666667,31.191737159934622,31.191737159934622,0.26757209724508585,0.2675720972450859,9.390557096787768,14.8
5,0.3,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.99995,0.85,0.9,4.0,7.0,13.0,4.0,7.0,13.0,0.3,4.5,9.359999999999998,0.08,0.64,0.72,31.2,0.3,4.5,9.359999999999998,0.5477225575051661,2.1213203435596424,3.0594117081556704,0.075,0.6428571428571429,0.7199999999999999,0.2090568261194834,4.646484869764713,14.854093725633769,0.1977254358826297,5.964064702970836,1.0,0.5,0.2647928994082846,0.5914138138455637,0.1478534534613909,0.7690343385347391,4.456228117690131,0.6366040168128758,2.1109780002856806,2153.8,0.9993958830449301,1.8463804221674815,1.0023774424190819,1.6247222115403248,0.5552843143261693,2.466666666666667,0.22157588284099736,3.8054678402653206,9.611989687551999,2158.866666666667,15.119224829413078,15.125407967740585,0.5060905412253934,0.5315469659603703,4.552705714363951,7.0,0.19513152758816235,5.574310106420531,14.558536232214886,644.5333333333333,1.9592963203862395,3.0141792965588388,0.9986960544127025,1.3539183471783476,0.2720082521084622,1.1333333333333333,2168.0666666666666,31.19189390295326,31.19189390295326,0.2675646999649422,0.2675646999649422,9.391019088929777,13.0
6,0.3,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.99995,0.85,0.95,4.0,7.0,15.0,4.0,7.0,15.0,0.3,4.5,9.359999999999998,0.08,0.64,0.62,31.2,0.3,4.5,9.359999999999998,0.5477225575051661,2.1213203435596424,3.0594117081556704,0.075,0.6428571428571429,0.6239999999999999,0.1844686211283658,4.2897589827073945,14.39233198324668,0.0642496887825326,4.083575261271795,1.0,0.5,0.2647928994082846,0.5373977773539164,0.1343494443384791,0.7330741963498076,4.317699594974004,0.6168142278534291,2.077907503950549,2153.866666666667,0.9994282398499138,1.6418097267616993,1.0023166763891627,1.5087401355756784,0.4936836636754982,2.2,0.19166131147788976,3.344504070774108,8.401979008770502,2158.9333333333334,15.119007881255733,14.7035121627875,0.5060964509872352,0.5456303688257156,4.425768911689141,7.0,0.06289718761167087,4.018214841233243,10.518909062664385,644.5333333333333,1.9592963203862395,2.202401496190303,0.9986960544127026,1.1430826310639917,0.19864826176128075,1.0,2168.0,31.19138157563125,31.191381575631258,0.26759383711908963,0.2675938371190897,9.391080556357302,14.933333333333334
7,0.3,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.99995,0.95,0.9,4.0,8.0,13.0,4.0,8.0,13.0,0.3,4.5,9.359999999999998,0.08,0.56,0.72,31.2,0.3,4.5,9.359999999999998,0.5477225575051661,2.1213203435596424,3.0594117081556704,0.075,0.5625,0.7199999999999999,0.1170423590501715,3.70283543667176,15.392084510436346,0.1977254358826297,5.964064702970836,1.0,0.5,0.2647928994082846,0.4300165784047904,0.1075041446011976,0.6557564932235063,4.617625353130904,0.5772031691413629,2.148866062166487,2153.4,0.9991594650130871,1.4311050870696194,1.0013032311443637,1.6071198972536407,0.43037956739139865,2.0,0.1279418579381183,3.3361562303231604,8.871011532482514,2158.866666666667,15.119224829413078,15.532544813700087,0.5060905412253935,0.5060976734815585,4.675125940022714,8.0,0.19472473924743733,5.761833830666879,14.958546702554854,644.5333333333333,1.9592963203862395,3.037332743363573,0.9986960544127025,1.3773134415271764,0.27411093585871743,1.1333333333333333,2168.0666666666666,31.19189390295326,31.19189390295326,0.26756469996494225,0.2675646999649422,9.39096154644486,13.0
8,0.3,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.99995,0.95,0.95,4.0,8.0,15.0,4.0,8.0,15.0,0.3,4.5,9.359999999999998,0.08,0.56,0.62,31.2,0.3,4.5,9.359999999999998,0.5477225575051661,2.1213203435596424,3.0594117081556704,0.075,0.5625,0.6239999999999999,0.0989606888972632,3.426839661642032,14.844535494103177,0.0642496887825326,4.083575261271795,1.0,0.5,0.2647928994082846,0.401736724096968,0.100434181024242,0.6338270458863111,4.4533606482309525,0.5566700810288691,2.110298710664192,2153.4,0.9991594650130871,1.2900192520027223,1.0013032311443633,1.3760768572078412,0.38796754219096174,2.0,0.10368737885713267,2.788119574783037,7.224411028529699,2158.866666666667,15.119224829413078,15.030504714633677,0.5060905412253934,0.5196111627362586,4.523905236343075,8.0,0.06335196059446138,4.02969671275647,10.639896924143276,644.5333333333333,1.9592963203862395,2.2049916197710484,0.9986960544127027,1.1504519235675181,0.1988761992899114,1.0,2167.9333333333334,31.191972278098163,31.191972278098163,0.2675800940628505,0.2675800940628505,9.39105176260059,14.933333333333334
9,0.5,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.95,0.85,0.9,2.0,10.0,21.0,2.0,10.0,21.0,0.5,7.5,15.599999999999998,0.25,0.75,0.74,31.2,0.5,7.5,15.599999999999998,0.7071067811865476,2.7386127875258306,3.9496835316263,0.25,0.75,0.7428571428571428,0.252063810915049,4.052556002714039,14.381435228694343,0.1403809678359765,4.100453470057075,1.0,0.5,0.2647928994082846,1.0107513549953793,0.5053756774976896,1.0053613056982944,7.190717614347172,0.7190717614347172,2.6815513447158104,3584.6666666666665,1.0050305455420485,1.5145250655329856,1.0122546600217697,1.0484474049535584,0.7606550690382397,2.0,0.25715972037496404,1.9777236223204642,5.276413158664051,3591.9333333333334,15.076324150030212,14.876157070586856,0.5109615875312138,0.5325153428525281,7.463214216600762,10.0,0.11847676350524906,3.4747750851358323,8.94601152212665,1072.7333333333333,1.9926383389234161,2.390174287515346,0.9964968146546381,1.0438431455605837,0.3590070082730106,1.6666666666666667,3606.4666666666667,31.169663655078853,31.169663655078853,0.26690938658038943,0.26690938658038943,15.625506250072418,21.0
10,0.5,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.95,0.85,0.95,2.0,10.0,22.0,2.0,10.0,22.0,0.5,7.5,15.599999999999998,0.25,0.75,0.71,31.2,0.5,7.5,15.599999999999998,0.7071067811865476,2.7386127875258306,3.9496835316263,0.25,0.75,0.709090909090909,0.2425422391384757,3.943826920401462,14.265020153582594,0.0894462418943664,3.538674035437884,1.0,0.5,0.2647928994082846,0.978272306024385,0.4891361530121925,0.9890764914931428,7.132510076791297,0.7132510076791296,2.670675958777346,3584.866666666667,1.0051197675132522,1.4834044116407574,1.0121528366453385,1.0495106783257893,0.7449880302353115,2.0,0.24625167969637815,1.9399059595486163,5.190852191697243,3592.0666666666666,15.07650962513061,14.776518472202072,0.5109539761971873,0.5376774151653747,7.413183858990831,10.0,0.07419110780236972,3.0776449159227703,7.974443937179282,1072.7333333333333,1.9926383389234161,2.2089580145851233,0.9964968146546381,1.0119095071133946,0.33167336030493627,1.3333333333333333,3606.4666666666667,31.169432083363894,31.169432083363898,0.2669123811890483,0.2669123811890484,15.62571123511021,22.0
11,0.5,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.95,0.95,0.9,2.0,12.0,21.0,2.0,12.0,21.0,0.5,7.5,15.599999999999998,0.25,0.62,0.74,31.2,0.5,7.5,15.599999999999998,0.7071067811865476,2.7386127875258306,3.9496835316263,0.25,0.625,0.7428571428571428,0.1005610622072833,2.789351041751929,15.122437835057534,0.1403809678359765,4.100453470057075,1.0,0.5,0.2647928994082846,0.6402500518137831,0.3201250259068915,0.8001562671214811,7.561218917528767,0.6301015764607306,2.749767066049189,3584.8,1.0051982072249646,1.1667734544348027,1.0121851136000273,1.0642517516757342,0.5860010973298072,2.0,0.09530382913513767,1.6925515243389726,4.492205009579004,3592.3333333333335,15.075370612935462,15.275533428513892,0.5109353497325332,0.5058927161755027,7.665226857005182,12.0,0.12866214514525287,3.8844052888550964,10.010944815327605,1072.8,1.9924741950521545,2.481962081339614,0.9966645707275092,1.0949939936100213,0.37313720474569223,1.8,3606.6666666666665,31.169289962910685,31.169289962910685,0.26691081377942394,0.2669108137794241,15.62639745283319,21.0
12,0.5,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.95,0.95,0.95,2.0,12.0,22.0,2.0,12.0,22.0,0.5,7.5,15.599999999999998,0.25,0.62,0.71,31.2,0.5,7.5,15.599999999999998,0.7071067811865476,2.7386127875258306,3.9496835316263,0.25,0.625,0.709090909090909,0.0944415774502449,2.71802194735173,14.96487048537908,0.0894462418943664,3.538674035437884,1.0,0.5,0.2647928994082846,0.628347140126142,0.314173570063071,0.7926835056478355,7.482435242689539,0.6235362702241283,2.73540403646144,3584.866666666667,1.0052018791693242,1.1496534994781462,1.0121605494908494,1.0497236021190455,0.5773806068773335,2.0,0.08814187436623454,1.6341513872713291,4.379107566805547,3592.266666666667,15.075571690743953,15.133852201915625,0.510923428070277,0.5120263759882345,7.594045747690903,12.0,0.08139011085382787,3.4331194814493218,8.818903982247424,1072.7333333333333,1.9925782818761901,2.26610631525304,0.9965837766892063,1.0501864885712426,0.34059257309490504,1.4,3606.6,31.16911209246571,31.16911209246571,0.2669089142771985,0.26690891427719865,15.627078170544447,22.0
13,0.5,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.99995,0.85,0.9,5.0,10.0,21.0,5.0,10.0,21.0,0.5,7.5,15.599999999999998,0.1,0.75,0.74,31.2,0.5,7.5,15.599999999999998,0.7071067811865476,2.7386127875258306,3.9496835316263,0.1,0.75,0.7428571428571428,0.252063810915049,4.052556002714039,14.381435228694343,0.1403809678359765,4.100453470057075,1.0,0.5,0.2647928994082846,1.0107513549953793,0.2021502709990758,1.0053613056982944,7.190717614347172,0.7190717614347172,2.6815513447158104,3585.0666666666666,1.0051402342960523,1.779071801090838,1.0121407595252851,1.310697751166669,0.8944415399749154,3.6,0.26005219941491337,2.9725979708960035,7.480874415261633,3592.3333333333335,15.075690127663059,14.713438955410494,0.5109417325703014,0.5489326871227835,7.382002367054489,10.0,0.13086927271638568,3.949964755629773,10.214275088548852,1072.8,1.9924741950521545,2.503979087638443,0.9966645707275092,1.1030693493950452,0.3765487661627734,1.8,3606.733333333333,31.169136254372535,31.16913625437254,0.26690991026876937,0.2669099102687694,15.626438777002283,21.0
14,0.5,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.99995,0.85,0.95,5.0,10.0,22.0,5.0,10.0,22.0,0.5,7.5,15.599999999999998,0.1,0.75,0.71,31.2,0.5,7.5,15.599999999999998,0.7071067811865476,2.7386127875258306,3.9496835316263,0.1,0.75,0.709090909090909,0.2425422391384757,3.943826920401462,14.265020153582594,0.0894462418943664,3.538674035437884,1.0,0.5,0.2647928994082846,0.978272306024385,0.195654461204877,0.9890764914931428,7.132510076791297,0.7132510076791296,2.670675958777346,3585.2,1.0051900966000276,1.716531001108418,1.012137046088633,1.2889600648684714,0.8627981694557262,3.3333333333333335,0.24820259556584012,2.86292869022423,7.163489761687937,3592.4,15.076567067211155,14.610531700671874,0.511003418088524,0.5544403629714462,7.330153843543939,10.0,0.08329010820878367,3.5052701448809995,9.046311525496062,1072.7333333333333,1.9925782818761901,2.2778747052556523,0.9965837766892063,1.056625861890831,0.3423797178858918,1.4,3606.8,31.16846661523874,31.16846661523874,0.2669138697109371,0.2669138697109373,15.62698030488661,22.0
15,0.5,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.99995,0.95,0.9,5.0,12.0,21.0,5.0,12.0,21.0,0.5,7.5,15.599999999999998,0.1,0.62,0.74,31.2,0.5,7.5,15.599999999999998,0.7071067811865476,2.7386127875258306,3.9496835316263,0.1,0.625,0.7428571428571428,0.1005610622072833,2.789351041751929,15.122437835057534,0.1403809678359765,4.100453470057075,1.0,0.5,0.2647928994082846,0.6402500518137831,0.1280500103627566,0.8001562671214811,7.561218917528767,0.6301015764607306,2.749767066049189,3584.8,1.0051958062416637,1.2518395102969007,1.012179666574945,1.2696030269081666,0.6295432624943942,2.1333333333333333,0.10020755936203964,2.4517836478881496,6.438418740016514,3592.4,15.07593754210251,15.229408807986022,0.5109383801054507,0.5110376081241081,7.64168880206326,12.0,0.13130086275898575,4.151917438178467,10.928555577803497,1072.8,1.9924741950521545,2.530364738557727,0.9966645707275092,1.141310563198949,0.3807907014065288,2.0,3606.8,31.168822997728007,31.16882299772801,0.26691379557942113,0.2669137955794213,15.62647759765986,21.0
16,0.5,1.0,15.0,2.0,24.0,48.0,0.3,1,2,1,8,0.99995,0.95,0.95,5.0,12.0,22.0,5.0,12.0,22.0,0.5,7.5,15.599999999999998,0.1,0.62,0.71,31.2,0.5,7.5,15.599999999999998,0.7071067811865476,2.7386127875258306,3.9496835316263,0.1,0.625,0.709090909090909,0.0944415774502449,2.71802194735173,14.96487048537908,0.0894462418943664,3.538674035437884,1.0,0.5,0.2647928994082846,0.628347140126142,0.1256694280252284,0.7926835056478355,7.482435242689539,0.6235362702241283,2.73540403646144,3585.0,1.0052097759390757,1.2190284148632793,1.012134056419186,1.2120991601957516,0.6126123365022497,2.066666666666667,0.09308690314211733,2.286794782334304,5.878477575897306,3592.4666666666667,15.076286085362806,15.090418332905323,0.5109182117601525,0.5164280857638346,7.571887960787989,12.0,0.08351611795455942,3.683141910071195,9.379455350958223,1072.8,1.9924699829594639,2.2900498529501117,0.9966793738312875,1.0767055743642424,0.34412759657452063,1.4666666666666666,3606.866666666667,31.168423538285182,31.168423538285182,0.26690839717952325,0.26690839717952336,15.627245526698564,22.0
